1999 Mundane Office Space	Corporate Memphis
1999 Mundane Office Space	Doomer
1999 Mundane Office Space	International Typographic Style
1999 Mundane Office Space	Liminal Space
1999 Mundane Office Space	Mallsoft
1999 Mundane Office Space	Office Siren
1999 Mundane Office Space	Power Dressing
1999 Mundane Office Space	TikTok Preppy
1999 Mundane Office Space	Yuppie
2000s Preppy	Bubblegum Bitch
2000s Preppy	Basic Girl
2000s Preppy	Boujee
2000s Preppy	High School Dream
2000s Preppy	Old Money
2000s Preppy	TikTok Preppy
2000s Preppy	Surfer
2000s Preppy	Tweencore
2010s Internet	2014 Tumblr
2010s Internet	Bubblegum Dance
2010s Internet	Digital Horror
2010s Internet	Frutiger Aero
2010s Internet	Frutiger Metro
2010s Internet	Gamercore
2010s Internet	Geek
2010s Internet	Glitter Graphics
2010s Internet	Nu-Goth
2010s Internet	Internet Awesomesauce
2010s Internet	Krocha
2010s Internet	Meme Rap
2010s Internet	Nerd
2010s Internet	Pastel Goth
2010s Internet	Poster Gal
2010s Internet	Scene
2010s Internet	Skeuomorphism
2010s Internet	Trillwave
2010s Internet	Tecktonik
2010s Internet	Vaporwave
2010s Internet	Y2K Futurism
2010s Internet	Yandere
2014 Girly	2014 Tumblr
2014 Girly	Bubblegum Bitch
2014 Girly	Pink Princess
2014 Girly	Quality Tumblr
2014 Girly	Shabby Chic
2020s Gamer	2020 TikTok
2020s Gamer	Cyberpunk
2020s Gamer	Tradcath Coquette
2020s Gamer	Gamercore
2020s Gamer	Hexatron
2020s Gamer	Kawaii Gamer
2020s Gamer	Synthwave
50s Suburbia	American Kitsch
50s Suburbia	Nymphet
50s Suburbia	Diner
50s Suburbia	Dreamcore
50s Suburbia	Suburban Gothic
50s Suburbia	Thai Modern
50s Suburbia	Vintage Americana
8-Bit	Arcadecore
8-Bit	Low Poly
8-Bit	PC-98
8-Bit	Pixel UI
8-Bit	Pixelscape
8-Bit	Shanzhai
90s Cool	Abstract Tech
90s Cool	Mallgoth
90s Cool	Berlin Techno Fashion
90s Cool	Biopunk
90s Cool	Chromecore
90s Cool	Corporate Grunge
90s Cool	Cyberdelic
90s Cool	Cyberprep
90s Cool	Cyberpunk
90s Cool	Gen X Soft Club
90s Cool	Trap Metal
90s Cool	Metalheart
90s Cool	Nu-Metal
90s Cool	Olderbrothercore
90s Cool	Poster Gal
90s Cool	Rave
90s Cool	Techwear
90s Cool	Teenpunk
90s Cool	Y2K Futurism
Abstract Tech	Corporate Memphis
Abstract Tech	Cyberprep
Abstract Tech	Cyberpunk
Abstract Tech	Dark Aero
Abstract Tech	DORFic
Abstract Tech	Fluent Design
Abstract Tech	Frutiger Aero
Abstract Tech	Frutiger Eco
Abstract Tech	Hacker
Abstract Tech	Hexatron
Abstract Tech	Med-Tech Visions
Abstract Tech	Metalheart
Abstract Tech	Robotcore
Abstract Tech	Skeuomorphism
Abstract Tech	Vectorheart
Abstract Tech	Y2K Futurism
Acid Design	Acid House
Acid Design	Cyberdelic
Acid Design	Cyberpunk
Acid Design	Hipness Purgatory
Acid Design	International Typographic Style
Acid Design	Cybersigilism
Acid Design	Neubrutalism
Acid Design	New Beat
Acid Design	Psychedelia
Acid Design	Racing
Acid Design	Rave
Acid Design	Retrofuturism
Acid Design	Synthwave
Acid Design	Y2K Futurism
Acid House	Balearic Beat
Acid House	Club
Acid House	Cyberdelic
Acid House	New Beat
Acid House	Electronic Body Music
Acid House	Gabber
Acid House	Hip-Hop
Acid House	Madchester
Acid House	Psychedelia
Acid House	Rave
Acid House	Slimepunk
Adventure Pulp	Adventurecore
Adventure Pulp	Nymphet
Adventure Pulp	Atompunk
Adventure Pulp	Cryptidcore
Adventure Pulp	Desert
Adventure Pulp	Dieselpunk
Adventure Pulp	Junglecore
Adventure Pulp	Pirate
Adventure Pulp	Safari
Adventure Pulp	Spy Fiction
Adventure Pulp	Tiki
Adventure Pulp	Vacation Dadcore
Adventure Pulp	Utopian Scholastic
Adventure Pulp	Victorian Goth
Adventure Pulp	Western
Adventurecore	Cabincore
Adventurecore	Campcore
